Season,Team,Name,Avg,On-base %,Slug %,OPS,H,AB,R,HR,RBI,1B,2B,3B,BB,K,SB,CS,Sac-Bunt,GIDP
2001,Sparks,Gonzalez,0.190,0.227,0.286,0.513,8,42,3,1,2,6,1,,2,10,,,,1
2001,Fresno,Goodwin,0.250,0.250,0.250,0.500,1,4,7,0,0,1,,,0,1,9,2,,
2001,Ojai,Grace,0.269,0.296,0.346,0.642,7,26,4,0,2,5,2,,1,2,,,1,4
2001,Sparks,Green,0.200,0.286,0.427,0.712,15,75,9,4,15,6,5,,9,22,3,3,3,2
2001,San Mateo,Guerrero,0.272,0.330,0.556,0.885,22,81,17,5,15,9,8,,7,12,4,1,,
2001,San Mateo,Hidalgo,0.111,0.250,0.185,0.435,3,27,3,0,5,1,2,,5,9,,,,1
2001,Barstow,Higginson,0.329,0.417,0.466,0.882,24,73,11,0,9,14,10,,11,13,2,1,1,
2001,San Mateo,Hunter,0.239,0.271,0.413,0.684,11,46,4,2,4,7,2,,2,7,0,1,,
2001,Reno,Ja. Giambi,0.310,0.443,0.620,1.063,22,71,8,5,18,10,7,,17,10,,,,1
2001,San Mateo,Je. Giambi,0.288,0.402,0.507,0.909,21,73,14,3,12,11,7,,14,15,,,,3
2001,Fresno,Jeter,0.250,0.337,0.345,0.682,21,84,9,2,10,17,2,,11,18,8,7,,2
2001,Fresno,Johnson,0.309,0.382,0.412,0.793,21,68,8,0,7,14,7,,8,9,,,5,2
2001,Ojai,Jones,0.206,0.372,0.324,0.696,7,34,5,1,6,5,1,,9,7,,,,1
2001,BNB,Kapler,0.050,0.174,0.050,0.224,1,20,2,0,1,1,,,3,10,,,2,3
2001,BNB,Kelty,0.211,0.318,0.368,0.687,4,19,5,1,2,3,,,3,6,,,,1
2001,Fresno,Kent,0.276,0.389,0.487,0.876,21,76,13,3,17,11,7,,14,12,,,,2
2001,San Mateo,Konerko,0.190,0.292,0.476,0.768,4,21,4,2,4,2,,,3,7,,,2,1
2001,San Mateo,Koskie,0.293,0.408,0.488,0.896,24,82,17,3,16,14,7,,16,14,0,1,,
2001,Ojai,L. Gonzalez,0.313,0.394,0.578,0.972,26,83,15,5,17,14,7,,11,16,,,,4
2001,San Mateo,Larue,0.207,0.270,0.328,0.597,12,58,6,2,9,9,1,,5,18,,,2,1
2001,Sparks,Long,0.338,0.408,0.471,0.878,23,68,11,2,9,18,3,,8,11,1,2,3,1
2001,Fresno,Lopez,0.000,0.000,0.000,0.000,0,1,,,,0,,,,,,,,
2001,Ojai,Lowell,0.316,0.366,0.447,0.813,12,38,6,1,8,9,2,,3,7,,,1,1
2001,Ojai,Lugo,0.257,0.342,0.286,0.627,18,70,12,0,3,16,2,,9,14,5,1,2,1
2001,Sparks,Martinez,0.239,0.379,0.451,0.830,17,71,9,3,11,8,6,,16,18,,,,2
2001,Reno,Matheny,0.500,0.500,0.500,1.000,1,2,,,,1,,,,,,,1,
2001,Sparks,McLemore,0.143,0.143,0.143,0.286,1,7,8,0,0,1,,,0,3,10,4,,
2001,Fresno,Mora,0.077,0.200,0.103,0.303,3,39,5,0,2,2,1,,6,11,,,4,1
2001,Barstow,Nixon,0.172,0.250,0.276,0.526,5,29,1,0,2,2,3,,3,7,,,,2
2001,BNB,Ordonez,0.341,0.407,0.439,0.846,28,82,17,1,14,22,5,,9,8,,,,2
2001,BNB,Piazza,0.338,0.402,0.541,0.943,25,74,9,3,11,16,6,,8,17,,,,1
2001,Barstow,Pierre,0.239,0.287,0.307,0.594,21,88,11,0,7,17,2,2,6,14,10,3,,2
2001,Barstow,Polanco,0.000,0.000,0.000,0.000,0,3,,,,0,,,0,1,,,,
2001,Ojai,Posada (OJO),0.174,0.296,0.348,0.644,4,23,2,1,3,2,1,,4,3,,,,1
2001,San Mateo,Posada (SM),0.222,0.462,0.222,0.684,2,9,0,0,1,2,,,4,3,,,,
2001,Ojai,Ramirez,0.354,0.430,0.585,1.015,29,82,13,4,17,18,7,,11,15,,,,1
2001,BNB,Ramirez,0.353,0.382,0.647,1.029,30,85,13,5,18,15,10,,4,9,,,,2
2001,Ojai,Relaford,0.250,0.318,0.300,0.618,5,20,1,0,1,4,1,,2,5,,,,
2001,Barstow,Renteria,0.314,0.385,0.529,0.913,22,70,12,4,14,15,3,,8,7,1,0,1,3
2001,Reno,Rodriguez,0.395,0.446,0.513,0.959,30,76,3,1,9,23,6,,7,14,,,1,4
2001,San Mateo,Rodriguez,0.265,0.344,0.566,0.910,22,83,14,6,22,9,7,,10,12,,,,2
2001,Barstow,Rolen,0.143,0.211,0.200,0.411,5,35,1,0,2,3,2,,3,11,,,,2
2001,BNB,Rowand,0.298,0.353,0.468,0.821,14,47,8,2,5,10,2,,4,10,,,,2
2001,San Mateo,Segui,0.381,0.381,0.381,0.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Sparks,Sexson,0.247,0.301,0.481,0.782,19,77,9,5,16,11,3,,6,23,,,,
2001,Barstow,Sheffield,0.235,0.395,0.265,0.660,8,34,2,0,1,7,1,,9,8,0,1,,
2001,BNB,Shumpert,0.000,0.000,0.000,0.000,0,1,3,0,0,,,,,,4,0,,
2001,Fresno,Sierra,0.342,0.412,0.632,1.043,26,76,10,6,19,16,4,,9,12,0,1,,2
2001,BNB,Stewart,0.281,0.326,0.303,0.630,25,89,11,0,5,23,2,,6,15,6,1,,1
2001,Sparks,Tejada,0.325,0.378,0.446,0.824,27,83,15,2,15,21,4,,7,18,3,2,,
2001,Barstow,Thome,0.373,0.447,0.680,1.127,28,75,9,6,11,17,5,,10,22,,,,3
2001,Reno,Tucker,0.167,0.286,0.333,0.619,1,6,3,0,1,0,1,,1,1,6,3,,
2001,San Mateo,Tyner ,0.000,0.000,0.000,0.000,0,3,6,,,0,,,,,5,0,,
2001,Reno,Uribe,0.218,0.261,0.448,0.709,19,87,11,4,15,9,4,2,5,21,0,1,,
2001,BNB,Vaughn,0.181,0.253,0.434,0.686,15,83,13,6,17,6,3,,8,20,,,,5
2001,Barstow,Ventura,0.206,0.325,0.353,0.678,7,34,4,1,3,4,2,,6,10,,,1,1
2001,BNB,Vidro,0.322,0.344,0.425,0.770,28,87,8,1,4,21,6,,3,10,,,,3
2001,Barstow,Vina (BLD),0.234,0.280,0.286,0.566,18,77,7,0,5,14,4,,5,14,3,2,,
2001,Reno,Williams,0.152,0.200,0.242,0.442,5,33,2,1,3,4,0,,2,10,,,0,1
2001,Ojai,Wilson,0.388,0.406,0.493,0.898,26,67,6,0,10,19,7,,2,12,,,,2
2001,Ojai,Young,0.188,0.235,0.188,0.423,6,32,2,0,4,6,,,2,16,,,,1
2001,Sparks,Zaun,0.357,0.407,0.571,0.978,30,84,13,5,15,22,3,,7,11,,,,3
2002,Shasta,A. Boone,0.240,0.305,0.333,0.638,23,96,5,2,9,18,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,A. Ramirez,0.316,0.391,0.490,0.881,31,98,12,4,14,22,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Abernathy,0.000,0.000,0.000,0.000,0,4,,,,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Abreu (FNO),0.280,0.379,0.402,0.781,30,107,17,1,11,19,10,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Alomar,0.264,0.314,0.345,0.659,29,110,17,0,11,21,7,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Alou,0.310,0.384,0.550,0.934,31,100,13,5,21,17,9,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,Aurillia,0.384,0.450,0.646,1.097,38,99,15,5,23,22,11,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Ausmus,0.169,0.266,0.277,0.543,14,83,14,1,8,7,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,B. Boone,0.278,0.310,0.519,0.828,30,108,18,8,19,20,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,Bagwell,0.190,0.306,0.381,0.687,8,42,5,2,5,4,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,Bautista,0.275,0.356,0.350,0.706,11,40,3,1,8,10,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,Bell,0.080,0.179,0.080,0.259,2,25,2,0,0,2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Beltran,0.271,0.327,0.458,0.785,26,96,14,3,10,17,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,Blanco,0.000,0.000,0.000,0.000,0,1,1,0,0,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Blanco (SH),0.571,0.571,1.143,1.714,4,7,3,1,3,2,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,Cabrera,0.290,0.327,0.449,0.776,31,107,15,3,21,20,8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Castillo (SM),0.265,0.320,0.319,0.638,30,113,18,0,3,24,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Catalanotto,0.308,0.308,0.385,0.692,4,13,3,,1,3,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Cedeno (Barst),0.000,0.000,0.000,0.000,0,1,1,0,0,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,Cedeno (RNO),0.307,0.347,0.482,0.830,35,114,24,2,15,23,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Chavez,0.167,0.196,0.315,0.511,9,54,3,2,4,5,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Cirillo,0.389,0.430,0.522,0.952,44,113,15,2,16,33,9,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Conine,0.111,0.111,0.111,0.222,1,9,,,,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Counsell,0.225,0.303,0.281,0.584,20,89,6,0,9,15,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,Crede,0.286,0.355,0.440,0.795,24,84,4,3,13,17,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Cruz Jr.,0.291,0.318,0.553,0.871,30,103,14,6,10,15,9,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,D. Young,0.333,0.341,0.432,0.774,27,81,7,0,9,19,8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Davis,0.328,0.431,0.393,0.824,20,61,6,0,3,16,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,Delgado,0.145,0.242,0.218,0.460,8,55,1,0,5,4,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Diaz,0.237,0.293,0.303,0.595,18,76,4,0,10,13,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,Drew,0.323,0.425,0.677,1.102,31,96,22,9,31,15,7,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Dunn,0.202,0.385,0.262,0.647,17,84,8,0,5,12,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,Durazo,0.205,0.279,0.308,0.587,8,39,2,0,2,4,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Easley,0.179,0.343,0.214,0.557,5,28,1,,2,4,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Edmonds,0.266,0.373,0.479,0.851,25,94,17,4,15,13,8,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,Eric Young,0.262,0.367,0.408,0.774,27,103,16,1,10,14,12,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Erstad,0.281,0.340,0.348,0.689,25,89,9,0,12,19,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,Finley,0.296,0.296,0.333,0.630,8,27,1,0,2,7,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,Finley,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Floyd,0.380,0.432,0.704,1.136,41,108,22,10,26,27,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Floyd (OJO),0.293,0.338,0.427,0.764,22,75,10,1,11,14,7,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Fullmer,0.327,0.403,0.418,0.821,18,55,5,1,3,15,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,Furcal,0.321,0.438,0.396,0.834,17,53,9,0,5,13,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Garciaparra,0.356,0.415,0.610,1.026,21,59,8,2,13,10,9,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Giambi (OJO),0.241,0.333,0.276,0.609,7,29,2,,5,6,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Giles,0.281,0.343,0.531,0.874,9,32,6,1,5,3,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Giles,0.103,0.286,0.282,0.568,4,39,4,2,4,1,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Gonzalez,0.244,0.358,0.289,0.647,22,90,8,1,5,20,1,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Goodwin,0.250,0.250,0.250,0.500,1,4,9,,,1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Grace,0.333,0.433,0.490,0.924,17,51,7,1,9,11,5,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Green,0.333,0.398,0.559,0.957,34,102,16,4,15,19,11,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Guerrero,0.290,0.350,0.589,0.939,31,107,15,7,23,13,11,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Shasta,Helton,0.304,0.466,0.532,0.998,24,79,15,5,16,16,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,Higginson,0.306,0.372,0.482,0.855,26,85,10,1,11,16,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,I. Rodriguez,0.287,0.343,0.351,0.694,27,94,4,1,2,23,3,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Izturis,0.000,0.000,0.000,0.000,0,2,,,,0,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Barstow,J. Gonzalez,0.337,0.362,0.574,0.936,34,101,8,6,25,22,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Reno,Ja. Giambi,0.278,0.425,0.489,0.914,25,90,11,5,17,16,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Je. Giambi,0.231,0.318,0.231,0.549,9,39,2,0,3,9,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Jeter,0.200,0.200,0.333,0.533,3,15,2,,,1,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Ojai,Jeter (OJO),0.238,0.273,0.333,0.606,5,21,3,0,2,3,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Johnson,0.165,0.220,0.235,0.455,14,85,7,0,1,8,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Jones,0.226,0.301,0.381,0.682,19,84,8,3,14,12,4,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Jordan,0.216,0.237,0.270,0.507,8,37,4,0,5,6,2,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Kapler,0.200,0.273,0.200,0.473,2,10,1,,1,2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Fresno,Kent,0.296,0.373,0.510,0.883,29,98,14,4,13,16,9,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,San Mateo,Koskie,0.306,0.380,0.528,0.908,33,108,15,5,19,19,9,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,Sparks,L. Gonzalez,0.367,0.446,0.816,1.263,36,98,18,11,32,14,11,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,MXC,Larkin,0.299,0.396,0.425,0.821,26,87,11,0,10,15,11,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
2002,BNB,LaRue,0.191,0.217,0.360,0.577,17,89,10,3,7,8,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
